X,D,Deg
5.04,0.119803,36
5.28,0.0787244,36
5.52,0.03462,36
5.76,-0.00947831,36
6,-0.0481257,36
6.24,-0.0797366,36
6.48,-0.104865,36
6.72,-0.11322,36
6.96,-0.119039,36
7.2,-0.105599,36
7.44,-0.0918768,36
7.68,-0.0700146,36
7.92,-0.0463326,36
8.16,-0.0239605,36
8.4,-0.00436327,36
8.64,0.015234,36
8.88,0.0295873,36
9.12,0.037426,36
9.36,0.0452648,36
9.6,0.0513873,36
9.84,0.0466037,36
10.08,0.0418202,36
10.32,0.0370366,36
10.56,0.0318853,36
10.8,0.0259691,36
11.04,0.020053,36
11.28,0.0141369,36
11.52,0.00822074,36
11.76,0.000388601,36
12,-0.00757366,36
12.24,-0.0155359,36
12.48,-0.0234981,36
12.72,-0.0314604,36
12.96,-0.0135773,36
13.2,0.00771071,36
13.44,0.0289988,36
13.68,0.0502868,36
13.92,0.0715748,36
14.16,0.0881984,36
14.4,0.0384068,36
14.64,-0.0113845,36
14.88,-0.0611759,36
15.12,-0.110968,36
15.36,-0.160759,36
3.6,-0.193596,54
3.84,-0.16847,54
4.08,-0.157849,54
4.32,-0.165907,54
4.56,-0.194358,54
4.8,-0.242276,54
5.04,-0.310479,54
5.28,-0.392517,54
5.52,-0.481612,54
5.76,-0.570727,54
6,-0.647457,54
6.24,-0.709388,54
6.48,-0.757759,54
6.72,-0.771494,54
6.96,-0.779995,54
7.2,-0.747463,54
7.44,-0.714332,54
7.68,-0.665376,54
7.92,-0.612882,54
8.16,-0.563769,54
8.4,-0.521819,54
8.64,-0.479869,54
8.88,-0.449123,54
9.12,-0.432296,54
9.36,-0.415469,54
9.6,-0.401815,54
9.84,-0.40832,54
10.08,-0.414825,54
10.32,-0.42133,54
10.56,-0.429573,54
10.8,-0.44143,54
11.04,-0.453287,54
11.28,-0.465145,54
11.52,-0.477002,54
11.76,-0.481578,54
12,-0.485661,54
12.24,-0.489743,54
12.48,-0.493826,54
12.72,-0.497908,54
12.96,-0.485685,54
13.2,-0.471314,54
13.44,-0.456942,54
13.68,-0.442571,54
13.92,-0.4282,54
14.16,-0.413072,54
14.4,-0.387166,54
14.64,-0.36126,54
14.88,-0.335354,54
15.12,-0.309448,54
15.36,-0.283543,54
3.6,-0.279511,72
3.84,-0.233317,72
4.08,-0.212718,72
4.32,-0.223789,72
4.56,-0.270245,72
4.8,-0.35174,72
5.04,-0.473538,72
5.28,-0.625224,72
5.52,-0.793148,72
5.76,-0.962043,72
6,-1.10251,72
6.24,-1.21288,72
6.48,-1.29591,72
6.72,-1.31197,72
6.96,-1.31792,72
7.2,-1.24187,72
7.44,-1.16463,72
7.68,-1.06114,72
7.92,-0.951796,72
8.16,-0.851509,72
8.4,-0.770419,72
8.64,-0.689329,72
8.88,-0.630916,72
9.12,-0.600674,72
9.36,-0.570433,72
9.6,-0.545749,72
9.84,-0.556381,72
10.08,-0.567013,72
10.32,-0.577645,72
10.56,-0.591391,72
10.8,-0.611615,72
11.04,-0.63184,72
11.28,-0.652064,72
11.52,-0.672288,72
11.76,-0.673198,72
12,-0.672796,72
12.24,-0.672395,72
12.48,-0.671994,72
12.72,-0.671592,72
12.96,-0.657208,72
13.2,-0.640982,72
13.44,-0.624756,72
13.68,-0.60853,72
13.92,-0.592304,72
14.16,-0.573947,72
14.4,-0.525256,72
14.64,-0.476566,72
14.88,-0.427876,72
15.12,-0.379185,72
15.36,-0.330495,72
3.6,-0.167827,90
3.84,-0.132992,90
4.08,-0.119267,90
4.32,-0.133595,90
4.56,-0.178054,90
4.8,-0.253885,90
5.04,-0.370553,90
5.28,-0.527378,90
5.52,-0.723296,90
5.76,-0.959428,90
6,-1.18867,90
6.24,-1.37282,90
6.48,-1.5132,90
6.72,-1.51974,90
6.96,-1.50606,90
7.2,-1.34188,90
7.44,-1.17549,90
7.68,-1.00798,90
7.92,-0.840211,90
8.16,-0.699674,90
8.4,-0.616827,90
8.64,-0.53398,90
8.88,-0.477079,90
9.12,-0.45241,90
9.36,-0.42774,90
9.6,-0.40796,90
9.84,-0.419252,90
10.08,-0.430542,90
10.32,-0.441834,90
10.56,-0.455449,90
10.8,-0.473897,90
11.04,-0.492345,90
11.28,-0.510794,90
11.52,-0.529242,90
11.76,-0.530215,90
12,-0.530001,90
12.24,-0.529788,90
12.48,-0.529574,90
12.72,-0.529361,90
12.96,-0.513459,90
13.2,-0.49549,90
13.44,-0.477521,90
13.68,-0.459552,90
13.92,-0.441584,90
14.16,-0.42332,90
14.4,-0.400858,90
14.64,-0.378396,90
14.88,-0.355934,90
15.12,-0.333471,90
15.36,-0.311009,90
3.6,-0.157524,108
3.84,-0.123507,108
4.08,-0.117935,108
4.32,-0.139845,108
4.56,-0.193715,108
4.8,-0.283663,108
5.04,-0.415263,108
5.28,-0.574769,108
5.52,-0.746288,108
5.76,-0.926851,108
6,-1.10089,108
6.24,-1.24561,108
6.48,-1.36201,108
6.72,-1.35389,108
6.96,-1.32695,108
7.2,-1.17966,108
7.44,-1.03061,108
7.68,-0.896342,108
7.92,-0.765379,108
8.16,-0.653651,108
8.4,-0.582678,108
8.64,-0.511704,108
8.88,-0.46208,108
9.12,-0.438981,108
9.36,-0.415881,108
9.6,-0.397201,108
9.84,-0.406601,108
10.08,-0.416002,108
10.32,-0.425403,108
10.56,-0.437162,108
10.8,-0.453823,108
11.04,-0.470485,108
11.28,-0.487146,108
11.52,-0.503808,108
11.76,-0.504774,108
12,-0.504676,108
12.24,-0.504577,108
12.48,-0.504478,108
12.72,-0.504379,108
12.96,-0.48852,108
13.2,-0.470585,108
13.44,-0.452649,108
13.68,-0.434713,108
13.92,-0.416778,108
14.16,-0.399066,108
14.4,-0.384535,108
14.64,-0.370005,108
14.88,-0.355474,108
15.12,-0.340944,108
15.36,-0.326413,108
3.6,-0.214484,126
3.84,-0.187684,126
4.08,-0.178382,126
4.32,-0.191456,126
4.56,-0.234036,126
4.8,-0.321089,126
5.04,-0.497471,126
5.28,-0.713083,126
5.52,-0.894651,126
5.76,-1.01862,126
6,-1.10894,126
6.24,-1.19231,126
6.48,-1.27153,126
6.72,-1.27377,126
6.96,-1.26437,126
7.2,-1.13754,126
7.44,-1.00899,126
7.68,-0.884722,126
7.92,-0.761412,126
8.16,-0.656903,126
8.4,-0.592225,126
8.64,-0.527546,126
8.88,-0.481212,126
9.12,-0.457666,126
9.36,-0.434121,126
9.6,-0.414568,126
9.84,-0.42039,126
10.08,-0.426211,126
10.32,-0.432033,126
10.56,-0.440519,126
10.8,-0.454545,126
11.04,-0.46857,126
11.28,-0.482596,126
11.52,-0.496622,126
11.76,-0.497006,126
12,-0.496463,126
12.24,-0.495921,126
12.48,-0.495379,126
12.72,-0.494837,126
12.96,-0.479405,126
13.2,-0.462012,126
13.44,-0.444619,126
13.68,-0.427226,126
13.92,-0.409832,126
14.16,-0.392777,126
14.4,-0.380531,126
14.64,-0.368285,126
14.88,-0.356039,126
15.12,-0.343793,126
15.36,-0.331547,126
3.6,-0.275651,144
3.84,-0.272662,144
4.08,-0.31368,144
4.32,-0.372645,144
4.56,-0.423897,144
4.8,-0.448861,144
5.04,-0.49242,144
5.28,-0.713339,144
5.52,-1.00517,144
5.76,-1.17634,144
6,-1.17473,144
6.24,-1.16016,144
6.48,-1.1467,144
6.72,-1.13984,144
6.96,-1.13399,144
7.2,-1.043,144
7.44,-0.95077,144
7.68,-0.863566,144
7.92,-0.777485,144
8.16,-0.701883,144
8.4,-0.648481,144
8.64,-0.595079,144
8.88,-0.550521,144
9.12,-0.51695,144
9.36,-0.483379,144
9.6,-0.453853,144
9.84,-0.450031,144
10.08,-0.44621,144
10.32,-0.442388,144
10.56,-0.442945,144
10.8,-0.452608,144
11.04,-0.46227,144
11.28,-0.471933,144
11.52,-0.481596,144
11.76,-0.482269,144
12,-0.482332,144
12.24,-0.482395,144
12.48,-0.482459,144
12.72,-0.482522,144
12.96,-0.467887,144
13.2,-0.451315,144
13.44,-0.434744,144
13.68,-0.418172,144
13.92,-0.401601,144
14.16,-0.385481,144
14.4,-0.375795,144
14.64,-0.366109,144
14.88,-0.356423,144
15.12,-0.346736,144
15.36,-0.33705,144
3.6,-0.523614,162
3.84,-0.712195,162
4.08,-0.946741,162
4.32,-1.14034,162
4.56,-1.22769,162
4.8,-1.20485,162
5.04,-1.05574,162
5.28,-0.945703,162
5.52,-1.0169,162
5.76,-1.16421,162
6,-1.15669,162
6.24,-1.09908,162
6.48,-1.00461,162
6.72,-0.954576,162
6.96,-0.91126,162
7.2,-0.890702,162
7.44,-0.870476,162
7.68,-0.833816,162
7.92,-0.793482,162
8.16,-0.752091,162
8.4,-0.708461,162
8.64,-0.664831,162
8.88,-0.632981,162
9.12,-0.615765,162
9.36,-0.59855,162
9.6,-0.581667,162
9.84,-0.566895,162
10.08,-0.552123,162
10.32,-0.537351,162
10.56,-0.524073,162
10.8,-0.513899,162
11.04,-0.503725,162
11.28,-0.493551,162
11.52,-0.483378,162
11.76,-0.480259,162
12,-0.477619,162
12.24,-0.474979,162
12.48,-0.472339,162
12.72,-0.4697,162
12.96,-0.455833,162
13.2,-0.440487,162
13.44,-0.425141,162
13.68,-0.409795,162
13.92,-0.394449,162
14.16,-0.379622,162
14.4,-0.372183,162
14.64,-0.364745,162
14.88,-0.357306,162
15.12,-0.349867,162
15.36,-0.342428,162
3.6,-1.70953,180
3.84,-1.89499,180
